"","id1","id2","thetar","thetas","alpha","n","ksat","l","thrim","thsim","omega","pulse","array(serr)"
"52",52,6,0.01,0.44,0.0225,1.38,0.2,0.5,0.15,0.25,0.5,12,116177.084987922
"53",53,6,0.01,0.44,0.025,1.38,0.2,0.5,0.15,0.25,0.5,12,144408.610503487
"54",54,6,0.01,0.44,0.0275,1.38,0.2,0.5,0.15,0.25,0.5,12,175630.481065129
"55",55,6,0.01,0.44,0.03,1.38,0.2,0.5,0.15,0.25,0.5,12,208238.474597931
"56",56,6,0.01,0.44,0.005,1.45,0.2,0.5,0.15,0.25,0.5,12,706693.786235224
"57",57,6,0.01,0.44,0.0075,1.45,0.2,0.5,0.15,0.25,0.5,12,156797.529073225
"58",58,6,0.01,0.44,0.01,1.45,0.2,0.5,0.15,0.25,0.5,12,50492.2407436634
"59",59,6,0.01,0.44,0.0125,1.45,0.2,0.5,0.15,0.25,0.5,12,42639.1973953644
"60",60,6,0.01,0.44,0.015,1.45,0.2,0.5,0.15,0.25,0.5,12,58088.7782147056
"61",61,6,0.01,0.44,0.0175,1.45,0.2,0.5,0.15,0.25,0.5,12,81407.3784503949
"62",62,6,0.01,0.44,0.02,1.45,0.2,0.5,0.15,0.25,0.5,12,111488.625936162
"63",63,6,0.01,0.44,0.0225,1.45,0.2,0.5,0.15,0.25,0.5,12,143459.468053352
"64",64,6,0.01,0.44,0.025,1.45,0.2,0.5,0.15,0.25,0.5,12,179559.031237064
"65",65,6,0.01,0.44,0.0275,1.45,0.2,0.5,0.15,0.25,0.5,12,217578.210223487
"66",66,6,0.01,0.44,0.03,1.45,0.2,0.5,0.15,0.25,0.5,12,255780.498250999
"67",67,6,0.01,0.44,0.005,1.52,0.2,0.5,0.15,0.25,0.5,12,791552.702618151
"68",68,6,0.01,0.44,0.0075,1.52,0.2,0.5,0.15,0.25,0.5,12,201214.728385731
"69",69,6,0.01,0.44,0.01,1.52,0.2,0.5,0.15,0.25,0.5,12,79411.6050541025
"70",70,6,0.01,0.44,0.0125,1.52,0.2,0.5,0.15,0.25,0.5,12,63449.3339933121
"71",71,6,0.01,0.44,0.015,1.52,0.2,0.5,0.15,0.25,0.5,12,77686.5976265485
"72",72,6,0.01,0.44,0.0175,1.52,0.2,0.5,0.15,0.25,0.5,12,105097.867115738
"73",73,6,0.01,0.44,0.02,1.52,0.2,0.5,0.15,0.25,0.5,12,138268.219426736
"74",74,6,0.01,0.44,0.0225,1.52,0.2,0.5,0.15,0.25,0.5,12,175806.346653269
"75",75,6,0.01,0.44,0.025,1.52,0.2,0.5,0.15,0.25,0.5,12,216932.657612709
"76",76,6,0.01,0.44,0.0275,1.52,0.2,0.5,0.15,0.25,0.5,12,258395.892399642
"77",77,6,0.01,0.44,0.03,1.52,0.2,0.5,0.15,0.25,0.5,12,300356.185515464
"78",78,6,0.01,0.44,0.005,1.59,0.2,0.5,0.15,0.25,0.5,12,876437.481665363
"79",79,6,0.01,0.44,0.0075,1.59,0.2,0.5,0.15,0.25,0.5,12,244428.352881031
"80",80,6,0.01,0.44,0.01,1.59,0.2,0.5,0.15,0.25,0.5,12,107911.128961038
"81",81,6,0.01,0.44,0.0125,1.59,0.2,0.5,0.15,0.25,0.5,12,87044.3713341803
"82",82,6,0.01,0.44,0.015,1.59,0.2,0.5,0.15,0.25,0.5,12,100757.702311191
"83",83,6,0.01,0.44,0.0175,1.59,0.2,0.5,0.15,0.25,0.5,12,129794.88053513
"84",84,6,0.01,0.44,0.02,1.59,0.2,0.5,0.15,0.25,0.5,12,165154.864413303
"85",85,6,0.01,0.44,0.0225,1.59,0.2,0.5,0.15,0.25,0.5,12,205419.743114042
"86",86,6,0.01,0.44,0.025,1.59,0.2,0.5,0.15,0.25,0.5,12,250937.120064531
"87",87,6,0.01,0.44,0.0275,1.59,0.2,0.5,0.15,0.25,0.5,12,294833.637066798
"88",88,6,0.01,0.44,0.03,1.59,0.2,0.5,0.15,0.25,0.5,12,340454.835624931
"89",89,6,0.01,0.44,0.005,1.66,0.2,0.5,0.15,0.25,0.5,12,953559.199922237
"90",90,6,0.01,0.44,0.0075,1.66,0.2,0.5,0.15,0.25,0.5,12,283688.338910187
"91",91,6,0.01,0.44,0.01,1.66,0.2,0.5,0.15,0.25,0.5,12,135968.814225497
"92",92,6,0.01,0.44,0.0125,1.66,0.2,0.5,0.15,0.25,0.5,12,110504.779490309
"93",93,6,0.01,0.44,0.015,1.66,0.2,0.5,0.15,0.25,0.5,12,123287.321460174
"94",94,6,0.01,0.44,0.0175,1.66,0.2,0.5,0.15,0.25,0.5,12,152521.129761736
"95",95,6,0.01,0.44,0.02,1.66,0.2,0.5,0.15,0.25,0.5,12,190430.134818298
"96",96,6,0.01,0.44,0.0225,1.66,0.2,0.5,0.15,0.25,0.5,12,234349.85819662
"97",97,6,0.01,0.44,0.025,1.66,0.2,0.5,0.15,0.25,0.5,12,281133.407706353
"98",98,6,0.01,0.44,0.0275,1.66,0.2,0.5,0.15,0.25,0.5,12,328468.460602709
"99",99,6,0.01,0.44,0.03,1.66,0.2,0.5,0.15,0.25,0.5,12,375817.016325598
"100",100,6,0.01,0.44,0.005,1.73,0.2,0.5,0.15,0.25,0.5,12,1020079.36512718
"101",101,6,0.01,0.44,0.0075,1.73,0.2,0.5,0.15,0.25,0.5,12,320159.633493198
"102",102,6,0.01,0.44,0.01,1.73,0.2,0.5,0.15,0.25,0.5,12,161133.855290577
"103",103,6,0.01,0.44,0.0125,1.73,0.2,0.5,0.15,0.25,0.5,12,131679.776829312
"104",104,6,0.01,0.44,0.015,1.73,0.2,0.5,0.15,0.25,0.5,12,143252.927601681
"105",105,6,0.01,0.44,0.0175,1.73,0.2,0.5,0.15,0.25,0.5,12,173424.670859422
"106",106,6,0.01,0.44,0.02,1.73,0.2,0.5,0.15,0.25,0.5,12,213639.337204682
"107",107,6,0.01,0.44,0.0225,1.73,0.2,0.5,0.15,0.25,0.5,12,259735.356742931
"108",108,6,0.01,0.44,0.025,1.73,0.2,0.5,0.15,0.25,0.5,12,307965.178265553
"109",109,6,0.01,0.44,0.0275,1.73,0.2,0.5,0.15,0.25,0.5,12,357336.804115153
"110",110,6,0.01,0.44,0.03,1.73,0.2,0.5,0.15,0.25,0.5,12,407260.315530042
"111",111,6,0.01,0.44,0.005,1.8,0.2,0.5,0.15,0.25,0.5,12,1078097.08112896
"112",112,6,0.01,0.44,0.0075,1.8,0.2,0.5,0.15,0.25,0.5,12,351754.481869539
"113",113,6,0.01,0.44,0.01,1.8,0.2,0.5,0.15,0.25,0.5,12,184008.200428377
"114",114,6,0.01,0.44,0.0125,1.8,0.2,0.5,0.15,0.25,0.5,12,151463.112663549
"115",115,6,0.01,0.44,0.015,1.8,0.2,0.5,0.15,0.25,0.5,12,162162.678491023
"116",116,6,0.01,0.44,0.0175,1.8,0.2,0.5,0.15,0.25,0.5,12,192652.367945737
"117",117,6,0.01,0.44,0.02,1.8,0.2,0.5,0.15,0.25,0.5,12,234746.90031387
"118",118,6,0.01,0.44,0.0225,1.8,0.2,0.5,0.15,0.25,0.5,12,282299.05330502
"119",119,6,0.01,0.44,0.025,1.8,0.2,0.5,0.15,0.25,0.5,12,332107.244699376
