"","id1","id2","THETAR","THETAS","ALPHA1","ALPHA2","N1","N2","KSAT","L","W2","PULSE","array(serr)"
"1",1,5,0,0.44,0.00502013204849975,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1491.45438123839
"2",2,5,0,0.44,0.00503777168582489,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"3",3,5,0,0.44,0.00505541132315003,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1402.95822281421
"4",4,5,0,0.44,0.00507305096047517,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1645.32256246028
"5",5,5,0,0.44,0.00509069059780031,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1654.34146470178
"6",6,5,0,0.44,0.00510833023512545,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1579.84154009645
"7",7,5,0,0.44,0.00512596987245059,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1623.81140860333
"8",8,5,0,0.44,0.00514360950977573,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1501.27545013648
"9",9,5,0,0.44,0.00516124914710087,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1681.69185949195
"10",10,5,0,0.44,0.00517888878442601,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1752.89882825484
"11",11,5,0,0.44,0.00519652842175115,0.0278120037625557,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1805.00881604457
"12",12,5,0,0.44,0.00502013204849975,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1252.03493519155
