"","time","vwc"
"0",0,0.283322401920191
"1",15,0.283322401920191
"2",30,0.283537858869257
"3",45,0.28368179401005
"4",60,0.283609796669877
"5",75,0.283789901829064
"6",90,0.283501912271737
"7",105,0.283573820332033
"8",120,0.28368179401005
"9",135,0.283465980529671
"10",150,0.284006520954856
"11",165,0.283970380341365
"12",180,0.284115032795727
"13",195,0.284078847172113
"14",210,0.28368179401005
"15",225,0.284078847172113
"16",240,0.284296186461405
"17",255,0.284259925622061
"18",270,0.285464546738821
"19",285,0.287171774882389
"20",300,0.292818091890083
"21",315,0.322905498738775
"22",330,0.339968657529995
"23",345,0.347425449506367
"24",360,0.348102200164082
"25",375,0.347966549814112
"26",390,0.347628081097455
"27",405,0.347425449506367
"28",420,0.345816451937484
"29",435,0.341692774337525
"30",450,0.339273493979283
"31",465,0.337089076439007
"32",480,0.335006341634697
"33",495,0.333080629592862
"34",510,0.331304969374801
"35",525,0.329384176544798
"36",540,0.328065117612077
"37",555,0.327043881416474
"38",570,0.325976301214709
"39",585,0.324919247074727
"40",600,0.323982263993413
"41",615,0.323053486085906
"42",630,0.322348716632492
"43",645,0.321594980896383
"44",660,0.320846631408165
"45",675,0.320050742315315
"46",690,0.319470940313616
"47",705,0.318789879497254
"48",720,0.318165172319926
"49",735,0.31759583775643
"50",750,0.317029646320229
"51",765,0.316415537726317
"52",780,0.315906591135536
"53",795,0.315450707159172
"54",810,0.315047189752789
"55",825,0.314695426611625
"56",840,0.314294905504909
"57",855,0.313796481260886
"58",870,0.313548191882929
"59",885,0.31325105246606
"60",900,0.312856231074161
"61",915,0.312610255917035
"62",930,0.312217950329048
"63",945,0.311875943474745
"64",960,0.311583726335811
"65",975,0.31138939066584
"66",990,0.311050215273
"67",1005,0.310760413550118
"68",1020,0.310519558014459
"69",1035,0.310279287370421
"70",1050,0.310183342403303
"71",1065,0.309800492215065
"72",1080,0.309514326937508
"73",1095,0.309371555551343
"74",1110,0.30913406278598
"75",1125,0.308944480957477
"76",1140,0.30875526453429
"77",1155,0.308472122705421
"78",1170,0.308377923646808
"79",1185,0.308142821890268
"80",1200,0.307861443964778
"81",1215,0.307674308061125
"82",1230,0.307487530442145
"83",1245,0.307254560670415
"84",1260,0.307068585390524
"85",1275,0.306975730907666
"86",1290,0.306651437095603
"87",1305,0.306512784917594
"88",1320,0.306466611525537
"89",1335,0.306328223127942
"90",1350,0.306052037905063
"91",1365,0.305914240223379
"92",1380,0.305730814875359
"93",1395,0.305639232586715
"94",1410,0.30545632815171
"95",1425,0.30520968697763
"96",1440,0.305182619975979
