"","Group.1","depth","ID","bulkd","vwc","porosity","sat_eff","sand_av","silt_av","clay_av","sand_sd","clay_sd","silt_sd","vgm_tr","vgm_ts","vgm_alpha","vgm_n","vgm_ksat"
"1","D",NA,NA,1.238191951,0.1361964236,0.5327577542,0.2617526422,82.36,8.96,8.7,0.712,0.196,0.648,0.0514,0.468,0.0374,1.68,244
"2","S",NA,NA,1.310573609,0.229113425,0.5054439212,0.4560239162,44,34.7,21.28,1.218,0.434,1.34,0.0664,0.434,0.01182,1.5,25.6
