"","p","e","t","fcstart","fcend","fcsd","matmax","vwcstart"
"1",1,12,1,193.039609644087,195.866819747417,1.37396293052709,76.4638346727899,0.289944949403037
"2",1,12,2,191.647531572905,204.328358208955,0.926852158024539,185.361653272101,0.290572088051411
"3",1,12,3,237.787026406429,240.796019900498,0.563986977629487,235.591274397245,0.272042037854656
"4",1,12,4,241.963260619977,247.175660160735,1.17709825731294,239.781859931114,0.270567234216983
"5",1,13,1,186.667623421355,100.861079219288,0.820485382206381,50.2870264064294,0.292855121556785
"6",1,13,2,194.890929965557,106.104094910065,1.37749893329014,25.3731343283582,0.289118241348263
"7",1,13,3,237.959242250287,223.096058170685,0.58729465186463,195.637198622273,0.271980632860758
"8",1,13,4,242.738231917336,222.483735170302,1.53677558402306,211.538461538462,0.270296794733682
"9",1,14,1,110.806544202067,107.860696517413,0.451731818981755,70.4936854190586,0.337289523720256
"10",1,14,2,114.738805970149,110.983543819365,0.46111776013433,41.4466130884041,0.33444190257846
"11",1,14,3,226.119402985075,224.217374665136,0.586171358547128,192.078071182549,0.276324868852219
"12",1,14,4,225.215269804822,224.179104477612,1.30186557477572,207.921928817451,0.276667168717226
"13",1,15,1,105.869690011481,107.037887485649,0.441898170127309,61.0792192881745,0.340966183652071
"14",1,15,2,109.9598163031,110.229621125144,0.833069112912601,26.8656716417911,0.337912005289024
"15",1,15,3,222.962112514351,224.389590508994,0.169274908829316,191.331802525832,0.277526971194271
"16",1,15,4,222.144087256028,225.859165709912,0.231526727321157,204.075774971297,0.277841543831752
"17",1,16,1,131.601607347876,108.346727898967,0.718893310737215,51.435132032147,0.322999701033384
"18",1,16,2,135.433409873708,112.035973976272,0.920702859310606,31.6877152698048,0.320563772011265
"19",1,16,3,232.477037887486,223.972445464983,0.286862344451738,192.824339839265,0.27396078976419
"20",1,16,4,234.845005740528,223.872942977421,0.385615718186879,211.481056257176,0.273098996601455
"21",1,17,1,120.680252583238,107.849215461156,0.919372486391635,48.9092996555683,0.330271193110604
"22",1,17,2,124.856486796785,111.549942594719,1.1618012069505,31.9173363949484,0.327431666295881
"23",1,17,3,226.865671641791,223.88825105243,0.425655234539441,193.915040183697,0.276043496047516
"24",1,17,4,225.861079219288,225.357826253349,0.542197436494769,206.084959816303,0.276422511231792
"25",2,5,5,148.679678530425,115.059318790662,0.852470958188592,60.1607347876005,0.312572547255792
"26",2,5,6,64.3226176808266,59.150401836969,0.917150909821273,9.07003444316878,0.376677512358909
"27",2,5,7,250.574052812859,242.166092613854,0.422881242910396,200.746268656716,0.267617487446817
"28",2,5,8,251.004592422503,243.065442020666,0.383984510712684,211.653272101033,0.267473117524262
"29",2,6,5,115.614236509759,115.889781859931,0.633393488338482,54.9368541905855,0.333817510477125
"30",2,6,6,53.2433983926521,59.5598928434749,0.733500834649921,20.4936854190585,0.387581160433842
"31",2,6,7,242.020665901263,241.691542288557,0.292281454728443,137.485648679679,0.270547167291518
"32",2,6,8,241.948909299656,242.510524301569,0.354445930821906,216.417910447761,0.2705722518093
"33",2,7,5,130.022962112514,116.766169154229,0.912949397999208,56.4867967853042,0.324020283207621
"34",2,7,6,76.0045924225029,62.089552238806,3.60282580473018,18.5993111366246,0.365764796868655
"35",2,7,7,250,241.109835438194,0.509706193548785,117.566016073479,0.267810433520269
"36",2,7,8,250.574052812859,241.890547263682,0.970439552591457,216.532721010333,0.267617487446817
"37",2,8,5,115.269804822044,93.5667814772292,17.6557335140343,55.1090700344432,0.334062761145187
"38",2,8,6,49.7273249138921,45.8476846536548,8.35734002059422,32.4913892078071,0.391130748020447
"39",2,8,7,240.987370838117,178.725602755454,47.2953220400169,118.427095292767,0.270909216995632
"40",2,8,8,240.829506314581,238.515116724072,1.68001951192254,220.378874856487,0.27096468816948
"41",2,9,5,119.503444316877,117.43972445465,0.717057389033203,51.7221584385764,0.331084908822358
"42",2,9,6,59.658438576349,62.0627631075392,2.13084050383564,11.308840413318,0.381209060474503
"43",2,9,7,245.063145809414,241.626482969767,0.761525904583437,115.442020665901,0.269491445081321
"44",2,9,8,244.776119402985,241.278224263299,1.19894544204969,216.99196326062,0.26959038986665
"45",2,10,5,115.685993111366,115.430539609644,0.560022071256139,50.4018369690012,0.333766483691404
"46",2,10,6,48.4070034443169,56.4753157290471,2.56313134555698,16.1308840413318,0.392472008111865
"47",2,10,7,241.633180252583,240.237275162648,0.456912795236987,119.517795637199,0.270682726051774
"48",2,10,8,240.599885189437,239.601990049751,0.62841898669753,220.723306544202,0.271045448547677
"49",3,12,9,151.420780711825,116.919249904325,0.301009769884598,68.0826636050517,0.31099787421246
"50",3,12,10,145.838117106774,113.291236127057,0.490886686577539,58.49598163031,0.31423272989496
"51",3,12,11,242.149827784156,232.900880214313,1.46047279093975,229.850746268657,0.270502036845497
"52",3,12,12,248.564867967853,234.286261002679,0.31626288733811,217.336394948335,0.268295076365222
"53",3,13,9,115.312858783008,109.720627631075,2.52076394671244,73.6509758897819,0.334032075632679
"54",3,13,10,111.42365097589,111.718331419824,1.5060181911834,73.6509758897819,0.336837942696023
"55",3,13,11,230.525258323766,234.990432453119,3.04285639748394,219.402985074627,0.274678675373478
"56",3,13,12,233.352468427095,236.850363566781,0.917578553811304,213.949483352468,0.27364102427957
"57",3,14,9,118.570608495982,116.827401454267,0.468310233364307,70.8381171067738,0.331734230252508
"58",3,14,10,114.308266360505,112.958285495599,1.05303137384164,70.780711825488,0.334750249298533
"59",3,14,11,236.380597014925,233.738997321087,2.65650358196856,222.56027554535,0.272545432745041
"60",3,14,12,240.255453501722,236.995790279372,1.00836160378872,214.179104477612,0.271166756160049
"61",3,15,9,115.284156142365,115.859165709912,0.405607249006275,57.2904707233065,0.334052531714035
"62",3,15,10,110.978760045924,113.111366245695,0.333176782363076,69.6326061997704,0.337163324040958
"63",3,15,11,230.783582089552,234.695752009185,0.52737929174998,217.393800229621,0.274583264873179
"64",3,15,12,235.404707233065,237.145044010716,0.237151678298191,211.194029850746,0.272896751287752
"65",4,5,13,146.182548794489,110.96058170685,1.02837809828578,69.4603903559128,0.314029967129627
"66",4,5,14,146.09644087256,114.060466896288,0.964600708285124,71.1251435132032,0.314080618016959
"67",4,5,15,252.583237657865,236.712590891695,0.515218015161422,227.43972445465,0.266946236267141
"68",4,5,16,249.425947187141,234.584768465365,0.563235235958206,225.48794489093,0.268003899113439
"69",4,6,13,110.677382319173,112.345962495216,0.784545511492061,72.8473019517796,0.337384263577539
"70",4,6,14,114.537887485649,115.82472254114,0.634680472370761,77.1526980482204,0.334585693379352
"71",4,6,15,236.179678530425,238.729429774206,0.337296011132609,224.856486796785,0.272617626926308
"72",4,6,16,233.768656716418,236.479142747799,0.506927809495168,226.923076923077,0.273489484453137
"73",4,7,13,126.779563719862,113.073096058171,2.183500222621,72.158438576349,0.326148959913355
"74",4,7,14,129.463260619977,115.985457328741,1.24883426982146,77.1526980482204,0.32438454653311
"75",4,7,15,250.574052812859,237.841561423651,1.11211422811423,233.696900114811,0.267617487446817
"76",4,7,16,247.273249138921,235.518561040949,0.863663136026745,230.022962112514,0.268734059337692
"77",4,8,13,111.438002296211,120.133945656334,1.93986011386188,110.964408725603,0.336827461735735
"78",4,8,14,115.987370838117,120.857252200536,1.08781908105887,109.758897818599,0.333552423475019
"79",4,8,15,236.969001148106,245.070799846919,0.313572087542852,236.452353616533,0.272334411328417
"80",4,8,16,236.179678530425,242.629161882893,0.423956005262889,235.820895522388,0.272617626926308
"81",5,5,17,146.727898966705,148.170685036357,0.493278392132126,144.489092996556,0.313709792937932
"82",5,5,18,145.680252583238,147.145044010716,0.14304773896188,144.603903559127,0.314325804880822
"83",5,5,19,249.138920780712,249.674703406047,0.148219798936372,247.416762342135,0.268100827409372
"84",5,5,20,255.740528128588,255.109070034443,1.08050969932757,249.712973593571,0.265903997871082
"85",5,6,17,145.651549942595,149.843092231152,0.48149440981996,142.020665901263,0.314342737212239
"86",5,6,18,145.565442020666,149.184845005741,0.218269516075395,144.890929965557,0.314393551954879
"87",5,6,19,247.84730195178,250.78453884424,0.367359628830185,246.842709529277,0.268538626072581
"88",5,6,20,251.865671641791,256.065824722541,0.932388877844466,247.990815154994,0.267185247084789
"89",5,7,17,152.023536165327,156.83122847302,2.48183609809003,150.114810562572,0.310655084647835
"90",5,7,18,154.047072330654,157.604286261003,1.03075578380693,153.559127439724,0.309513318252253
"91",5,7,19,250.574052812859,253.463451970915,2.46304942541025,249.712973593571,0.267617487446817
"92",5,7,20,253.300803673938,260.1607347876,6.01367537563724,247.990815154994,0.266708022124762
"93",5,8,17,150.818025258324,154.646000765404,2.11349316390574,148.794489092997,0.311341908849143
"94",5,8,18,156.773823191734,158.036739380023,1.00042482371097,154.994259471871,0.3079964536233
"95",5,8,19,249.856486796785,250.554917719097,0.836584148416533,248.564867967853,0.267858751128798
"96",5,8,20,250.287026406429,253.693073096058,3.25794689842217,247.990815154994,0.267713895679106
"97",5,9,17,156.816877152698,160.822809031764,1.61186171576332,153.444316877153,0.307972700198856
"98",5,9,18,160.462112514351,164.370455415232,0.850259137921134,159.529276693456,0.305983411322568
"99",5,9,19,251.004592422503,255.070799846919,4.71715685206487,249.138920780712,0.267473117524262
"100",5,9,20,254.305396096441,258.859548411787,3.83534712398676,249.138920780712,0.266375852893604
"101",5,10,17,154.549368541906,160.482204362801,1.8388644477263,152.870264064294,0.309232037962035
"102",5,10,18,162.528702640643,166.081132797551,0.942982168849747,161.194029850746,0.304874497830336
"103",5,10,19,250.861079219288,252.812858783008,1.2426240396835,247.990815154994,0.26752120855325
"104",5,10,20,250.861079219288,256.180635285113,2.7909887657425,247.416762342135,0.26752120855325
"105",5,11,17,161.165327210103,163.555300420972,2.00659016915335,154.994259471871,0.305604557966219
"106",5,11,18,166.561423650976,169.077688480674,0.847208456538643,163.490241102181,0.302748871375369
"107",5,11,19,253.157290470723,255.415231534635,4.41720579729062,247.990815154994,0.266755601417549
"108",5,11,20,255.884041331803,258.744737849215,4.0152443777051,249.712973593571,0.265856984222122
"109",5,12,17,173.92365097589,184.362801377727,1.04840159172999,171.182548794489,0.298994197590231
"110",5,12,18,197.632032146958,205.85533869116,0.939263882194321,195.292766934558,0.287909306674615
"111",5,12,19,253.444316877153,259.127439724455,1.22353497796021,250.287026406429,0.266660474533951
"112",5,12,20,252.583237657865,262.456946039036,1.89400148418529,246.842709529277,0.266946236267141
"113",5,13,17,177.999425947187,185.908916953693,4.05039295247927,172.962112514351,0.296982667623759
"114",5,13,18,205.611366245695,208.836586299273,1.99548584016303,202.411021814007,0.28448938718214
"115",5,13,19,254.305396096441,258.094144661309,3.81894616313464,249.712973593571,0.266375852893604
"116",5,13,20,251.435132032147,259.089169536931,5.27319778203356,246.842709529277,0.267329037705282
"117",5,14,17,183.266360505166,192.449292001531,3.02104115104569,182.261768082664,0.294450913584592
"118",5,14,18,210.734787600459,219.422120168389,0.874550644924516,210.505166475316,0.282368223067465
"119",5,14,19,254.305396096441,259.127439724455,3.32469550017344,252.583237657865,0.266375852893604
"120",5,14,20,252.43972445465,259.816303099885,5.19736360933572,250.287026406429,0.266993974564207
"121",5,15,17,183.811710677382,197.95254496747,0.580035523913396,181.113662456946,0.294193012249154
"122",5,15,18,216.532721010333,226.333716035209,0.619212174771598,213.203214695752,0.280034864801124
"123",5,15,19,252.583237657865,259.510141599694,0.853298912694852,249.138920780712,0.266946236267141
"124",5,15,20,250.287026406429,262.763107539227,1.13711871627098,245.522388059702,0.267713895679106
"125",5,16,17,215.312858783008,221.415996938385,0.163041778830011,193.45579793341,0.280520027819775
"126",5,16,18,255.166475315729,268.503635667815,0.853298912694838,244.890929965557,0.266092364281782
"127",5,16,19,262.055109070034,261.653272101033,0.237680445238468,245.924225028703,0.263864415002339
"128",5,16,20,264.06429391504,264.332185227708,0.367359628830185,241.561423650976,0.263227670821731
"129",5,17,17,226.219862227325,239.877535399923,0.679112923250484,NA,0.276286930774283
"130",5,17,18,283.295063145809,307.768848067356,0.891081567981523,NA,0.25741289710302
"131",5,17,19,261.194029850746,262.648296976655,2.52906091345478,245.981630309989,0.264139087065328
"132",5,17,20,252.726750861079,265.556831228473,0.565792629511572,NA,0.266898529836997
