Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2014-2-16,52.3,42.0,31.3,34.7,30.8,26.2,90,66,45,30.19,29.90,14,2,17,0.38 
2014-2-17,50.4,40.6,27.7,39.9,33.9,25.7,95,78,56,30.18,30.10,20,3,25,0.01 
2014-2-18,55.0,43.5,33.1,42.1,36.4,31.5,95,78,46,30.19,29.91,27,4,28,0.36 
2014-2-19,47.5,37.9,30.4,38.7,30.4,24.8,94,76,43,30.36,30.05,10,1,10,0.40 
2014-2-20,52.7,37.3,26.2,41.2,31.1,24.3,93,80,50,30.43,30.27,7,1,7,0.00 
2014-2-21,54.9,38.4,27.7,42.3,32.8,26.2,96,82,45,30.32,30.15,7,1,7,0.01 
2014-2-22,58.6,38.4,26.1,36.5,30.2,23.0,96,76,28,30.22,30.03,6,1,7,0.01 
2014-2-23,63.9,42.4,26.6,40.1,31.2,24.4,100,68,27,30.15,30.01,10,1,12,0.00 
2014-2-24,68.2,50.0,37.0,47.5,39.7,33.8,90,70,39,30.08,29.91,7,1,9,0.00 
2014-2-25,68.0,48.1,32.0,43.2,36.0,30.6,96,68,28,30.02,29.87,17,2,20,0.00 
2014-2-26,56.5,50.1,43.2,43.7,40.1,36.9,91,69,57,29.88,29.62,15,3,15,0.04 
2014-2-27,52.9,43.1,36.0,46.2,39.5,34.9,97,88,65,29.73,29.60,7,1,9,0.15 
2014-2-28,53.4,43.9,35.8,42.3,38.8,34.0,96,83,61,29.68,29.38,7,1,9,0.00 
2014-3-1,57.4,46.3,36.3,43.0,39.1,34.5,95,78,47,29.81,29.49,12,2,13,0.01 
2014-3-2,57.7,48.5,41.4,45.9,41.6,39.2,93,78,56,29.97,29.79,21,4,27,0.01 
2014-3-3,54.9,47.6,40.1,48.4,44.0,38.8,98,88,67,30.06,29.87,15,2,18,0.26 
2014-3-4,54.9,45.6,39.7,48.2,42.3,38.1,100,88,73,30.16,30.01,6,1,6,0.02 
2014-3-5,57.2,51.2,45.1,51.3,45.5,36.0,96,82,57,30.02,29.73,27,4,35,0.41 
2014-3-6,50.9,45.2,35.2,41.2,37.7,33.6,94,76,53,30.24,29.81,26,6,38,0.85 
2014-3-7,56.5,42.0,32.4,44.6,36.9,30.7,100,83,53,30.38,30.22,7,1,8,0.00 
2014-3-8,59.9,45.5,31.6,49.5,40.0,30.4,97,83,50,30.28,30.13,15,2,18,0.13 
2014-3-9,53.1,50.4,48.4,52.0,49.2,47.5,97,96,93,30.15,29.99,6,1,6,0.48 
2014-3-10,52.2,44.0,33.3,47.5,35.7,27.1,97,75,41,30.45,30.00,14,2,16,0.55 
2014-3-11,57.6,39.3,26.6,35.6,29.4,24.6,94,72,31,30.50,30.30,10,1,10,0.00 
2014-3-12,62.8,41.9,27.1,37.9,29.7,24.6,92,67,27,30.43,30.19,7,1,7,0.00 
2014-3-13,66.2,45.2,28.2,39.2,32.3,19.8,93,66,18,30.23,30.05,7,1,7,0.01 
2014-3-14,64.4,48.4,38.1,41.4,36.3,28.2,88,67,27,30.36,30.11,8,1,9,0.00 
2014-3-15,69.8,48.2,31.3,43.5,36.5,29.5,95,68,31,30.44,30.30,7,1,7,0.00 
2014-3-16,72.0,50.1,32.4,40.3,29.6,13.1,91,56,13,30.39,30.01,31,5,34,0.00 
2014-3-17,50.4,42.3,33.1,39.7,30.3,24.4,91,65,40,30.27,30.02,19,2,28,0.04 
2014-3-18,56.5,39.6,26.4,33.8,27.1,23.4,90,65,29,30.29,30.10,8,1,10,0.00 
2014-3-19,64.8,43.3,27.0,38.8,29.1,17.4,88,62,18,30.23,30.10,7,1,7,0.00 
2014-3-20,63.9,44.4,28.8,36.7,29.4,12.9,90,61,15,30.20,30.04,9,1,9,0.00 
2014-3-21,63.3,43.6,27.9,33.3,26.7,17.8,92,56,20,30.14,30.00,10,1,12,0.00 
2014-3-22,63.3,43.2,27.0,36.3,27.3,18.9,86,58,19,30.25,30.09,7,1,8,0.00 
2014-3-23,67.8,46.1,27.7,36.5,28.3,6.4,92,57,10,30.28,30.14,7,1,8,0.00 
2014-3-24,73.8,49.3,30.2,37.6,29.4,21.9,87,53,16,30.22,29.94,10,1,11,0.00 
2014-3-25,51.4,44.5,39.0,43.9,36.5,24.8,90,74,38,29.95,29.73,19,2,24,0.03 
2014-3-26,50.9,42.7,38.5,41.9,37.5,32.2,95,82,62,29.80,29.66,16,2,18,0.01 
2014-3-27,52.7,45.0,37.6,38.3,34.4,30.6,86,67,48,30.03,29.79,17,3,22,0.01 
2014-3-28,56.3,47.3,42.3,46.0,41.9,37.9,96,82,57,30.03,29.87,12,2,14,0.44 
2014-3-29,52.7,44.7,35.4,43.3,36.3,28.9,95,74,46,29.99,29.89,17,4,22,0.01 
2014-3-30,50.5,39.9,31.8,37.9,32.2,29.1,95,76,48,30.07,29.98,17,2,20,0.01 
2014-3-31,45.0,36.7,28.9,36.1,30.5,26.6,91,79,52,30.00,29.72,18,3,20,0.01 
2014-4-1,50.0,39.2,28.9,36.1,30.6,26.8,94,74,42,29.94,29.81,16,2,18,0.01 
2014-4-2,58.8,44.2,31.5,38.3,33.7,28.8,93,69,37,30.08,29.94,8,1,9,0.00 
2014-4-3,53.2,43.4,36.0,40.5,36.4,32.2,94,78,46,30.06,29.97,16,1,18,0.04 
2014-4-4,51.8,43.8,37.2,43.7,38.9,34.7,96,84,59,30.08,29.97,8,1,10,0.02 
2014-4-5,57.7,45.6,33.4,45.0,38.3,31.8,96,77,52,30.26,30.08,9,1,9,0.02 
