date,C1-1,C2-1,C3-1,C4-1,C5-2,C6-2,C7-2,C8-2,C9-3,C10-3,C11-3,C12-3,C13-4,C14-4,C15-4,C16-4,C17-5,C18-5,C19-5,C20-5,C21-6,C22-6,C23-6,C24-6,C25-7,C26-7,C27-7,C28-7,C29-8,C30-8,C31-8,C32-8,C33-9,C34-9,C35-9,C36-9,C37-10,C38-10,C39-10,C40-10,C41-11,C42-11,C43-11,C44-11,C45-12,C46-12,C47-12,C48-12
1/17/2015 14:15,6.051,4.74,4.272,3.854,7.72,6.077,5.539,5.179,8.17,6.509,5.847,5.539,8.22,6.458,5.847,5.36,8.668,6.889,6.128,5.821,8.568,6.661,6,5.668,8.22,6.458,5.693,5.462,8.941,7.217,6.331,5.898,9.583,7.393,6.255,5.539,8.07,6.636,6.255,5.847,9.608,7.368,6.357,5.898,-94.792,7.519,6.179,5.282
1/17/2015 14:30,6.153,4.792,4.298,3.88,7.82,6.102,5.565,5.179,8.295,6.535,5.847,5.514,8.319,6.484,5.847,5.334,8.767,6.914,6.128,5.796,8.643,6.687,6,5.668,8.295,6.509,5.719,5.437,8.965,7.217,6.306,5.847,9.608,7.444,6.306,5.539,8.17,6.661,6.23,5.796,9.632,7.444,6.382,5.898,-94.792,7.569,6.204,5.282
1/17/2015 14:45,6.281,4.844,4.298,3.88,7.92,6.153,5.565,5.179,8.369,6.56,5.847,5.514,8.419,6.535,5.847,5.334,8.866,6.965,6.128,5.796,8.717,6.737,6.026,5.668,8.369,6.56,5.719,5.437,8.99,7.242,6.306,5.821,9.608,7.494,6.331,5.539,8.295,6.712,6.204,5.745,9.657,7.494,6.408,5.898,-94.792,7.619,6.255,5.282
1/17/2015 15:00,6.382,4.921,4.324,3.88,8.02,6.204,5.591,5.179,8.469,6.611,5.847,5.514,8.519,6.585,5.847,5.334,8.916,7.015,6.153,5.796,8.767,6.788,6.051,5.642,8.419,6.611,5.745,5.437,9.015,7.242,6.306,5.796,9.608,7.544,6.357,5.539,8.419,6.763,6.204,5.719,9.657,7.544,6.458,5.898,-94.792,7.67,6.306,5.282
1/17/2015 15:15,6.509,4.973,4.324,3.88,8.12,6.255,5.591,5.179,8.519,6.661,5.872,5.488,8.618,6.636,5.872,5.308,8.99,7.066,6.179,5.796,8.817,6.813,6.051,5.642,8.494,6.661,5.745,5.437,9.04,7.268,6.306,5.77,9.608,7.569,6.408,5.565,8.519,6.788,6.204,5.693,9.682,7.594,6.484,5.898,-94.792,9.608,8.643,8.469
1/17/2015 15:30,6.585,5.024,4.35,3.88,8.22,6.306,5.616,5.179,8.618,6.712,5.898,5.488,8.693,6.712,5.898,5.308,9.04,7.142,6.179,5.796,8.866,6.864,6.077,5.642,8.543,6.687,5.77,5.411,9.114,7.293,6.306,5.77,10.247,10.075,9.756,9.361,8.593,6.839,6.204,5.693,9.682,7.645,6.509,5.898,-94.792,8.444,7.695,6.94
1/17/2015 15:45,6.661,5.076,4.376,3.88,8.319,6.382,5.616,5.154,8.668,6.763,5.924,5.488,8.742,6.763,5.898,5.308,9.089,7.192,6.204,5.77,8.916,6.914,6.102,5.642,8.593,6.737,5.796,5.411,9.139,7.343,6.331,5.745,9.089,8.817,8.22,7.645,8.618,6.889,6.204,5.668,10.198,9.114,8.568,7.82,-94.792,8.369,7.72,6.535
1/17/2015 16:00,6.763,5.154,4.402,3.88,8.419,6.433,5.642,5.154,8.717,6.813,5.949,5.488,8.817,6.813,5.949,5.308,9.139,7.242,6.23,5.77,8.941,6.965,6.102,5.642,8.618,6.813,5.796,5.411,9.163,7.368,6.357,5.745,9.089,8.319,7.594,6.864,8.643,6.94,6.23,5.668,10.1,8.444,7.569,6.94,-94.792,8.27,7.393,6.255
1/17/2015 16:15,6.813,5.205,4.402,3.88,8.494,6.484,5.668,5.154,8.767,6.864,5.975,5.488,8.866,6.864,5.949,5.308,9.163,7.293,6.255,5.77,8.965,7.015,6.128,5.642,8.643,6.839,5.821,5.411,9.188,7.419,6.357,5.745,9.015,8.02,7.142,6.408,8.668,6.965,6.23,5.668,9.657,7.945,7.167,6.611,-94.792,8.12,7.192,5.949
1/17/2015 16:30,6.889,5.282,4.428,3.88,8.568,6.56,5.693,5.154,8.817,6.914,6,5.488,8.891,6.914,6,5.308,9.213,7.343,6.281,5.77,8.99,7.066,6.153,5.642,8.668,6.889,5.847,5.411,9.188,7.444,6.382,5.745,9.188,7.87,6.914,6.153,8.693,7.015,6.255,5.642,9.558,8.02,7.142,6.408,-94.792,7.87,6.889,5.745
1/17/2015 16:45,6.94,5.334,4.454,3.88,8.618,6.611,5.693,5.154,8.866,6.965,6.026,5.488,8.941,6.965,6.026,5.308,9.238,7.393,6.306,5.77,8.99,7.091,6.179,5.642,8.643,6.94,5.872,5.411,9.188,7.469,6.408,5.745,9.213,7.795,6.813,5.975,8.693,7.066,6.255,5.642,9.632,7.895,6.99,6.281,-94.792,8.07,6.813,5.642
1/17/2015 17:00,10.663,5.77,4.844,3.985,8.668,6.661,5.745,5.154,8.891,7.015,6.051,5.488,8.965,7.015,6.051,5.308,9.262,7.444,6.357,5.77,9.015,7.142,6.204,5.642,8.643,6.965,5.898,5.411,9.213,7.519,6.433,5.745,9.213,7.72,6.712,5.872,8.693,7.116,6.281,5.642,9.583,7.87,6.839,6.204,-94.792,8.045,6.763,5.565
1/17/2015 17:15,10.345,5.565,4.714,3.932,8.717,6.712,5.745,5.154,8.916,7.066,6.077,5.488,8.99,7.066,6.077,5.308,9.287,7.469,6.382,5.77,9.015,7.167,6.23,5.642,8.643,7.015,5.924,5.411,9.188,7.544,6.458,5.745,9.163,7.67,6.661,5.796,8.717,7.167,6.306,5.642,9.485,7.87,6.839,6.153,-94.792,7.945,6.687,5.514
1/17/2015 17:30,10.418,5.565,4.662,3.932,8.767,6.763,5.796,5.154,8.941,7.091,6.102,5.488,9.015,7.116,6.102,5.308,9.287,7.519,6.408,5.77,8.99,7.217,6.255,5.642,8.618,7.066,5.949,5.411,9.188,7.569,6.484,5.745,9.139,7.67,6.661,5.77,8.693,7.167,6.331,5.642,9.46,7.82,6.737,6.128,-94.792,7.92,6.737,5.488
1/17/2015 17:45,11.516,5.591,4.61,3.932,8.792,6.813,5.796,5.179,8.965,7.142,6.128,5.488,9.015,7.167,6.128,5.308,9.287,7.569,6.433,5.77,8.99,7.242,6.281,5.642,8.593,7.091,5.975,5.411,9.163,7.619,6.509,5.745,9.114,7.67,6.636,5.745,8.693,7.217,6.357,5.642,9.435,7.87,6.661,6.102,-94.792,7.945,6.712,5.462
1/17/2015 18:00,10.687,5.616,4.688,3.932,8.841,6.864,5.847,5.179,8.965,7.167,6.179,5.488,9.015,7.217,6.153,5.308,9.262,7.594,6.458,5.77,8.965,7.268,6.306,5.642,8.568,7.116,6,5.411,9.163,7.645,6.535,5.745,9.089,7.67,6.636,5.719,8.668,7.242,6.382,5.642,9.386,7.895,6.712,6.051,-94.792,7.97,6.712,5.437
