tensio,event,pool,fraction
13,7,ET,0.011233636
13,8,ET,0.004862442
14,5,Recharge,0.956602147
14,6,Recharge,0.975231198
14,7,Recharge,0.960239026
14,8,Recharge,0.995137558
14,5,Storage,0.040413358
14,6,Storage,0.018426733
14,7,Storage,0.028527338
14,8,Storage,0
14,5,ET,0.002984495
14,6,ET,0.006342069
14,7,ET,0.011233636
14,8,ET,0.004862442
15,5,Recharge,0.987747818
15,6,Recharge,0.990672841
15,7,Recharge,0.987201405
15,8,Recharge,0.995137558
15,5,Storage,0.009267687
15,6,Storage,0.00298509
15,7,Storage,0.001564959
15,8,Storage,0
15,5,ET,0.002984495
15,6,ET,0.006342069
15,7,ET,0.011233636
15,8,ET,0.004862442
16,5,Recharge,0.987945846
16,6,Recharge,0.99216589
16,7,Recharge,0.979405758
16,8,Recharge,0.995137558
16,5,Storage,0.009069659
16,6,Storage,0.001492041
16,7,Storage,0.009360606
16,8,Storage,0
16,5,ET,0.002984495
16,6,ET,0.006342069
16,7,ET,0.011233636
16,8,ET,0.004862442
