Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2015-1-1,42.3,26.5,16.9,26.6,19.8,14.0,90,77,42,30.43,30.29,5,0,5,0.00 
2015-1-2,45.0,29.5,19.8,31.8,24.2,17.4,92,82,50,30.38,30.26,5,0,5,0.00 
2015-1-3,47.3,31.9,23.4,35.1,27.7,21.4,93,85,59,30.38,30.29,5,0,5,0.01 
2015-1-4,49.6,36.5,30.0,37.8,31.8,27.7,92,84,58,30.50,30.38,4,0,5,0.00 
2015-1-5,50.9,36.5,29.8,40.3,32.5,28.0,94,86,62,30.56,30.46,5,0,5,0.00 
2015-1-6,54.0,37.0,28.0,42.3,33.3,26.6,95,87,58,30.50,30.36,5,0,5,0.01 
2015-1-7,54.1,36.4,26.8,43.7,33.4,25.5,97,90,64,30.47,30.32,5,0,5,0.00 
2015-1-8,47.7,34.2,26.1,39.7,32.1,24.8,97,92,72,30.33,30.20,4,0,4,0.01 
2015-1-9,48.9,36.5,29.5,41.2,34.1,28.2,97,91,72,30.24,30.12,4,0,5,0.01 
2015-1-10,48.4,39.3,32.5,42.1,36.6,31.3,100,90,75,30.13,30.03,4,0,5,0.00 
2015-1-11,40.5,34.2,28.0,37.2,32.5,26.8,97,93,88,30.31,30.11,5,0,5,0.01 
2015-1-12,45.9,40.6,36.9,43.2,39.1,35.6,97,94,90,30.42,30.31,2,0,3,0.04 
2015-1-13,49.1,40.1,30.0,41.4,37.5,28.6,97,91,67,30.44,30.31,5,0,6,0.01 
2015-1-14,40.6,32.5,28.2,36.5,30.7,27.0,97,93,82,30.42,30.33,3,0,4,0.01 
2015-1-15,51.3,38.5,30.4,43.3,35.0,29.1,96,88,64,30.40,30.14,11,1,14,0.22 
2015-1-16,51.3,45.6,42.4,47.3,43.6,41.4,97,93,84,30.27,30.14,12,1,12,0.92 
2015-1-17,58.3,48.3,42.3,51.6,45.5,41.2,97,91,69,30.26,30.05,25,3,29,0.05 
2015-1-18,57.4,48.8,35.4,49.3,41.0,28.9,96,77,35,30.37,30.05,19,3,22,0.48 
2015-1-19,50.2,35.8,28.2,38.3,31.9,27.0,96,87,56,30.48,30.36,5,1,6,0.00 
2015-1-20,48.7,33.2,25.5,36.7,29.2,24.3,96,86,56,30.42,30.29,5,0,6,0.01 
2015-1-21,49.5,33.9,24.3,36.9,29.4,22.5,94,85,54,30.44,30.32,5,0,5,0.00 
2015-1-22,50.0,38.1,31.3,39.4,33.9,29.5,100,86,62,30.55,30.38,6,0,6,0.00 
2015-1-23,55.2,39.1,30.2,44.1,35.1,28.8,100,86,59,30.65,30.51,5,0,5,0.01 
2015-1-24,57.0,39.8,28.6,46.9,36.3,27.5,100,88,60,30.57,30.38,5,0,5,0.00 
2015-1-25,59.7,40.3,30.4,48.7,37.4,29.3,98,90,61,30.44,30.18,4,0,6,0.01 
2015-1-26,49.8,38.2,31.3,45.0,36.7,30.4,98,95,80,30.23,30.09,4,0,5,0.01 
2015-1-27,51.3,41.6,35.2,46.0,39.1,33.8,97,91,80,30.33,30.12,5,0,6,0.01 
2015-1-28,55.8,40.9,30.9,45.9,36.5,29.7,97,85,54,30.42,30.30,4,0,5,0.01 
2015-1-29,55.9,39.6,30.7,43.9,35.8,29.7,97,87,52,30.37,30.23,6,0,6,0.00 
2015-1-30,59.2,38.4,28.0,43.9,33.9,26.6,97,85,42,30.31,30.14,5,1,5,0.01 
2015-1-31,55.4,35.5,24.4,36.3,30.3,22.6,96,83,43,30.34,30.19,6,0,6,0.01 
2015-2-1,54.9,41.1,31.3,44.6,36.1,28.9,95,83,54,30.31,30.19,12,0,13,0.02 
2015-2-2,52.7,47.1,43.5,49.6,45.4,42.4,98,94,80,30.25,30.10,18,1,18,0.05 
2015-2-3,62.2,50.6,42.6,52.2,44.1,39.4,98,80,46,30.13,30.04,16,2,16,0.19 
2015-2-4,61.5,47.1,36.0,47.8,38.0,33.6,97,74,44,30.07,29.83,23,3,23,0.00 
2015-2-5,57.4,50.8,45.1,45.1,39.7,30.9,93,68,37,29.90,29.68,31,8,41,0.13 
2015-2-6,47.3,45.2,43.5,45.0,42.5,39.9,96,90,81,29.79,29.57,18,3,22,0.48 
2015-2-7,55.0,50.4,44.2,47.3,41.7,34.0,97,73,45,29.99,29.55,23,4,41,0.71 
2015-2-8,58.5,50.6,42.4,50.0,42.8,37.6,91,75,58,29.99,29.61,18,4,24,0.07 
2015-2-9,51.6,46.0,33.8,43.9,38.5,30.7,92,76,59,30.30,29.62,26,5,33,0.46 
2015-2-10,45.9,35.8,28.8,38.5,32.4,27.0,96,88,66,30.42,30.30,7,0,7,0.01 
2015-2-11,52.2,39.6,31.8,44.1,35.7,30.4,95,87,61,30.42,30.31,5,0,5,0.00 
