Date,C1,C2,C3,H1,H2,H3,L1,L2,L3,N1,N2
2/17/2015 20:30:00,0.00599671,0.00599671,0.00599671,0.00599671,0.00599671,0.00599671,0.00599671,0.00599671,0.00599671,0,0
2/17/2015 20:45:00,0.005990154,0.005990154,0.005990154,0.005990154,0.005990154,0.005990154,0.005990154,0.005990154,0.005990154,0,0
2/17/2015 21:00:00,0.005990435,0.005990435,0.005990435,0.005990435,0.005990435,0.005990435,0.005990435,0.005990435,0.005990435,0,0
2/17/2015 21:15:00,0.005939547,0.005939547,0.005939547,0.005939547,0.005939547,0.005939547,0.005939547,0.005939547,0.005939547,0,0
2/17/2015 21:30:00,0.005898429,0.005898429,0.005898429,0.005898429,0.005898429,0.005898429,0.005898429,0.005898429,0.005898429,0,0
2/17/2015 21:45:00,0.00592284,0.00592284,0.00592284,0.00592284,0.00592284,0.00592284,0.00592284,0.00592284,0.00592284,0,0
2/17/2015 22:00:00,0.005924829,0.005924829,0.005924829,0.005924829,0.005924829,0.005924829,0.005924829,0.005924829,0.005924829,0,0
2/17/2015 22:15:00,0.005886389,0.005886389,0.005886389,0.005886389,0.005886389,0.005886389,0.005886389,0.005886389,0.005886389,0,0
2/17/2015 22:30:00,0.005902637,0.005902637,0.005902637,0.005902637,0.005902637,0.005902637,0.005902637,0.005902637,0.005902637,0,0
2/17/2015 22:45:00,0.005863968,0.005863968,0.005863968,0.005863968,0.005863968,0.005863968,0.005863968,0.005863968,0.005863968,0,0
2/17/2015 23:00:00,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0,0
2/17/2015 23:15:00,0.005823258,0.005823258,0.005823258,0.005823258,0.005823258,0.005823258,0.005823258,0.005823258,0.005823258,0,0
2/17/2015 23:30:00,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0.005829711,0,0
2/17/2015 23:45:00,0.005801806,0.005801806,0.005801806,0.005801806,0.005801806,0.005801806,0.005801806,0.005801806,0.005801806,0,0
