"","X2","X34","X0","X2009.01.26.11.55.00"
"622348",2,34,0,"2015-01-26 09:15:00"
"622349",2,34,0,"2015-01-26 09:20:00"
"622350",2,34,0,"2015-01-26 09:25:00"
"622351",2,34,0,"2015-01-26 09:30:00"
"622352",2,34,0,"2015-01-26 09:35:00"
"622353",2,34,0,"2015-01-26 09:40:00"
"622354",2,34,0,"2015-01-26 09:45:00"
"622355",2,34,0,"2015-01-26 09:50:00"
"622356",2,34,0,"2015-01-26 09:55:00"
"622357",2,34,0,"2015-01-26 10:00:00"
"622358",2,34,0,"2015-01-26 10:05:00"
"622359",2,34,0,"2015-01-26 10:10:00"
"622360",2,34,0,"2015-01-26 10:15:00"
"622361",2,34,0,"2015-01-26 10:20:00"
"622362",2,34,0,"2015-01-26 10:25:00"
"622363",2,34,0,"2015-01-26 10:30:00"
"622364",2,34,0,"2015-01-26 10:35:00"
"622365",2,34,0,"2015-01-26 10:40:00"
"622366",2,34,0,"2015-01-26 10:45:00"
"622367",2,34,0,"2015-01-26 10:50:00"
"622368",2,34,0,"2015-01-26 10:55:00"
"622369",2,34,0,"2015-01-26 11:00:00"
"622370",2,34,0,"2015-01-26 11:05:00"
"622371",2,34,0,"2015-01-26 11:10:00"
"622372",2,34,0,"2015-01-26 11:15:00"
"622373",2,34,0,"2015-01-26 11:20:00"
"622374",2,34,0,"2015-01-26 11:25:00"
"622375",2,34,0,"2015-01-26 11:30:00"
"622376",2,34,0,"2015-01-26 11:35:00"
"622377",2,34,0,"2015-01-26 11:40:00"
"622378",2,34,0,"2015-01-26 11:45:00"
"622379",2,34,0,"2015-01-26 11:50:00"
"622380",2,34,0,"2015-01-26 11:55:00"
"622381",2,34,0,"2015-01-26 12:00:00"
"622382",2,34,0,"2015-01-26 12:05:00"
"622383",2,34,0,"2015-01-26 12:10:00"
"622384",2,34,0,"2015-01-26 12:15:00"
"622385",2,34,0,"2015-01-26 12:20:00"
"622386",2,34,0,"2015-01-26 12:25:00"
"622387",2,34,0,"2015-01-26 12:30:00"
"622388",2,34,0,"2015-01-26 12:35:00"
"622389",2,34,0,"2015-01-26 12:40:00"
"622390",2,34,0,"2015-01-26 12:45:00"
"622391",2,34,0,"2015-01-26 12:50:00"
